diaId visitId objectId ra dec mjd mag snr
229 1633752 106 129.929509375 -1.78146572687 52392.03388 22.363 5.01
1287 1635459 463 164.87115377 -6.02694874465 52394.049013 22.0576 21.1416
1329 1635479 106 130.130873579 -1.56432145105 52394.058508 22.3039 10.5328
1346 1635491 463 164.870231195 -6.02557897728 52394.064789 22.0578 20.1251
1364 1635502 106 130.131902848 -1.56311634562 52394.06985 22.3036 9.48654
1836 1636240 587 117.077310477 -18.7878619384 52395.024311 23.9031 7.61555
1886 1636278 587 117.107578186 -18.7769335628 52395.042131 23.8692 6.87695
2604 1636810 893 225.269088026 -21.6515117027 52396.085984 23.5294 14.0874
2714 1636835 893 225.261272268 -21.6519850028 52396.099458 23.5396 13.7132
3753 1637201 1293 239.246672924 -27.2276532874 52396.304579 21.7452 43.4829
3828 1637231 1293 239.240333725 -27.2266310002 52396.318595 21.7409 42.4882
4034 1637298 1365 240.470209314 -8.00272592845 52396.350314 20.135 143.433
4050 1637307 1378 244.179950534 -15.0973357102 52396.354347 21.8724 33.3499
4086 1637328 1365 240.467413072 -8.00134752397 52396.364338 20.132 137.204
4099 1637336 1378 244.181865829 -15.1010492726 52396.367931 21.8676 31.8858
4533 1637556 1562 219.912244532 -9.56415517639 52397.075484 23.5395 12.3893
4676 1637587 1562 219.907956113 -9.5626664807 52397.09002 23.5432 13.1226
4864 1637639 1293 238.888095894 -27.1684202984 52397.114189 21.819 65.3036
5034 1637684 1293 238.878108651 -27.1668581858 52397.136032 21.8266 61.838
5317 1637777 1378 244.321575485 -15.3306717682 52397.178744 21.9751 52.4459
5444 1637817 1378 244.324382046 -15.3367043346 52397.199406 21.9762 53.4972
5551 1637853 1365 240.298958511 -7.91754151565 52397.220734 20.3038 201.081
5686 1637892 1365 240.295349122 -7.91579711421 52397.238584 20.3039 200.864
5790 1637924 1378 244.331796359 -15.3528700541 52397.255031 21.9748 54.5678
5903 1637957 1378 244.333920058 -15.3575151826 52397.271089 21.9733 54.2207
7281 1638707 1562 219.582045243 -9.44713563324 52398.216174 23.419 12.2948
8375 1639242 106 130.825079022 -1.05538318455 52399.015777 22.5038 47.539
8402 1639257 587 123.543617242 -16.3962314511 52399.02253 24.0162 10.5745
8433 1639274 106 130.82780126 -1.05347437223 52399.034829 22.5027 44.5061
8462 1639289 587 123.572770486 -16.3849192469 52399.04184 23.9852 9.99145
9594 1639715 2601 294.954595343 -30.0699061966 52399.250865 23.835 7.82345
9700 1639747 2601 294.956703212 -30.0719565506 52399.267312 23.8359 8.34907
10894 1640266 1562 219.032805861 -9.25342785183 52400.13593 23.4541 12.0885
11754 1640645 2601 295.09568241 -30.1971510207 52400.312199 23.6213 8.83743
11840 1640688 2601 295.097879114 -30.1996859145 52400.332498 23.6214 9.12828
12585 1641102 463 164.576497064 -5.45169442676 52401.095798 22.3504 36.2501
12668 1641136 463 164.575902041 -5.45025738252 52401.114609 22.3504 32.7067
12673 1641137 463 164.575887899 -5.45022308068 52401.115058 22.3505 34.0408
12797 1641182 1365 239.505849623 -7.53642863329 52401.138704 20.2286 189.054
12894 1641220 1365 239.501048066 -7.53422316495 52401.161594 20.2297 200.692
13451 1641427 2601 295.21021656 -30.3132374008 52401.262822 23.7845 6.82831
13561 1641464 2601 295.212037618 -30.3156474644 52401.281393 23.7846 7.64926
13766 1641613 587 127.926454585 -14.6920184479 52402.02916 23.5613 5.21094
13787 1641634 587 127.947653329 -14.6835404829 52402.044519 23.5381 5.01
13858 1641666 463 164.550692257 -5.37871255408 52402.06254 22.1635 27.6148
13931 1641699 463 164.550205295 -5.37742390488 52402.079767 22.1636 26.7925
13997 1641787 106 131.58019537 -0.660456817273 52403.02903 22.2809 22.0979
14018 1641810 106 131.582385457 -0.659306053153 52403.040841 22.28 20.8304
14321 1641946 1293 236.051669515 -26.6400983816 52403.114302 21.3976 58.3671
14336 1641951 1378 245.256463764 -17.2927305957 52403.116557 21.3309 54.6739
14373 1641963 893 221.147114694 -21.8122797794 52403.125299 23.1387 11.9359
14393 1641967 1293 236.045150589 -26.6388180393 52403.127257 21.4018 60.8015
14417 1641978 1378 245.258443363 -17.2988156494 52403.132392 21.3346 58.7534
14446 1641989 1378 245.259197226 -17.3011638623 52403.138508 21.3358 60.1937
14478 1642000 893 221.13598112 -21.8125286702 52403.143809 23.143 12.2617
14533 1642029 1378 245.261853046 -17.3095632905 52403.160412 21.3394 64.7285
16038 1642613 106 131.786447759 -0.567109845904 52403.990707 23.1527 40.2247
16042 1642614 106 131.786533832 -0.567066079851 52403.991158 23.1533 40.819
16076 1642626 587 130.590132931 -13.6360502142 52403.996539 24.8594 7.49757
16107 1642647 106 131.789402956 -0.565611928103 52404.006141 23.152 38.9476
16117 1642652 106 131.789887303 -0.565367419196 52404.00866 23.1513 38.1001
16139 1642660 587 130.610612581 -13.6277727813 52404.012293 24.8429 7.20595
16344 1642822 463 164.507408675 -5.22997961149 52404.097144 23.0425 44.1021
16420 1642855 463 164.507091211 -5.22886291691 52404.11274 23.0424 41.4549
17036 1643017 1562 217.896635003 -8.86077763151 52404.189451 24.4213 12.9697
17218 1643052 1562 217.891925761 -8.85920950848 52404.20614 24.4204 12.6975
17385 1643086 1365 238.861030119 -7.24059099929 52404.222364 20.8835 265.788
17565 1643135 1365 238.856135458 -7.23842750132 52404.24509 20.883 264.943
19292 1643758 893 219.97273255 -21.8315727199 52405.105611 23.4491 21.2752
19334 1643766 1365 238.67338869 -7.15637186939 52405.10925 20.1991 251.646
19385 1643777 1562 217.644218959 -8.77476141888 52405.11427 23.7735 14.8127
19510 1643803 893 219.958707386 -21.8317590779 52405.128927 23.4576 22.1237
19557 1643812 1365 238.668180522 -7.1540939206 52405.133385 20.2027 269.329
19601 1643822 1562 217.637524221 -8.77255733814 52405.138248 23.7764 15.338
19766 1643853 1378 245.560287048 -18.0977300181 52405.154577 21.4419 122.192
19958 1643894 1378 245.562648737 -18.1063711645 52405.175201 21.4461 127.401
20777 1644181 2601 295.546132258 -30.8373425377 52405.307763 23.7142 16.1677
20874 1644209 2601 295.546584581 -30.8392049773 52405.321156 23.7142 16.6809
20927 1644220 2601 295.546758961 -30.8399339659 52405.326416 23.7142 16.8514
21071 1644257 2601 295.547335532 -30.842382527 52405.34416 23.7139 17.3311
22011 1644575 1562 217.380650683 -8.68567574736 52406.089224 23.7583 7.97787
22051 1644585 1293 234.556376913 -26.31731891 52406.093789 21.4531 76.208
22079 1644591 893 219.38555277 -21.8371036996 52406.096488 23.3492 13.7985
22164 1644619 1562 217.374220402 -8.68357482165 52406.112551 23.7605 8.48808
22233 1644635 893 219.37149851 -21.8372289217 52406.119887 23.3544 14.4926
22428 1644693 1293 234.528196765 -26.3112078107 52406.148053 21.4625 87.0398
22537 1644741 1293 234.515440526 -26.3084192812 52406.172548 21.4648 89.9435
