diaId visitId objectId ra dec mjd mag snr
8060 1639071 1897 322.916208445 -52.6507771818 52398.387644 23.1068 10.1223
8077 1639085 1864 270.677063301 -46.4388630753 52398.395241 22.845 16.7446
8134 1639106 1864 270.676216829 -46.4393025799 52398.404871 22.8443 16.4094
9063 1639556 2480 236.562912885 -62.0953601032 52399.175142 22.3519 54.2082
9069 1639559 1864 270.618231553 -46.476116139 52399.176644 23.007 23.7857
9080 1639563 1864 270.618057673 -46.4762156182 52399.178484 23.0072 25.1318
9104 1639571 1864 270.617709869 -46.4764137174 52399.182154 23.0069 23.9377
9194 1639596 2480 236.565372583 -62.0900442909 52399.195044 22.3544 56.7105
9205 1639600 1864 270.616290674 -46.4772100249 52399.196991 23.0065 26.0762
9210 1639602 1864 270.616203929 -46.4772580815 52399.197891 23.0067 27.5126
9225 1639608 1864 270.615926437 -46.4774113449 52399.200765 23.0065 26.4203
9263 1639617 1238 260.49487512 -14.083804954 52399.205184 21.8599 82.5746
9277 1639621 1238 260.495488774 -14.0850168002 52399.206983 21.8539 80.5332
9365 1639646 1238 260.499310104 -14.0925874859 52399.218226 21.8618 80.918
9379 1639650 1238 260.49992251 -14.0938044619 52399.220034 21.8695 82.911
9897 1639813 201 310.386047432 -51.5450365208 52399.297651 22.1691 43.7911
10008 1639854 201 310.412291789 -51.5533577844 52399.3176 22.1855 45.4306
10077 1639892 2205 303.526978793 -52.1474385272 52399.334784 23.0148 21.9215
10081 1639893 201 310.435470767 -51.5606963756 52399.335231 22.199 46.9111
10165 1639929 2205 303.544077492 -52.153829535 52399.353291 23.0204 22.5397
10172 1639932 201 310.460982426 -51.5687584513 52399.354646 22.2103 48.2455
10183 1639942 1897 323.99248236 -51.8865565693 52399.359137 23.1848 16.1796
10189 1639946 1408 318.491472625 -55.294379884 52399.360926 23.3858 13.8606
10301 1639987 1897 324.015013204 -51.8693382826 52399.381668 23.2032 16.9061
10307 1639991 1408 318.522100014 -55.2558704649 52399.383477 23.4089 14.2083
10322 1640002 1408 318.528827912 -55.247316494 52399.388461 23.4134 14.2724
10461 1640051 201 310.540669047 -51.5938024468 52399.415309 22.2286 9.27989
10464 1640076 201 310.560090049 -51.5998670982 52399.430087 22.1069 6.57799
10643 1640196 47 243.368384679 -30.1994026305 52400.09918 18.1456 629.612
10669 1640209 2480 236.762177121 -61.8241480888 52400.106757 22.13 36.7059
10777 1640236 47 243.362410025 -30.2086536167 52400.120342 18.161 665.345
10807 1640244 2480 236.764590157 -61.8191016217 52400.125189 22.1333 38.2312
10992 1640288 1779 238.934949776 2.52277390861 52400.146098 23.4354 9.39197
11009 1640297 2480 236.767712088 -61.8120024161 52400.150669 22.138 40.045
11111 1640333 1779 238.927047784 2.52369891241 52400.168758 23.4427 10.2026
11140 1640346 2480 236.770516575 -61.8050483362 52400.175103 22.1422 41.3195
11150 1640354 1864 270.525059439 -46.5227426715 52400.178806 22.7627 20.1948
11183 1640370 1864 270.524267452 -46.523113032 52400.185945 22.7623 19.7924
11191 1640373 1864 270.524114792 -46.5231839578 52400.187316 22.7626 20.8857
11244 1640397 1864 270.5228767 -46.5237537108 52400.198377 22.7621 20.8083
11257 1640403 1864 270.522568719 -46.5238939426 52400.201113 22.7623 21.9291
11324 1640436 2480 236.774948888 -61.7930251746 52400.216125 22.1486 41.6239
11337 1640441 1864 270.520588894 -46.5247814772 52400.218565 22.762 22.3231
11386 1640471 1864 270.519021357 -46.5254675107 52400.23223 22.7614 24.5987
11388 1640472 1864 270.518969495 -46.5254899626 52400.23268 22.7616 25.4464
11396 1640478 2480 236.776994672 -61.7871536615 52400.235615 22.1511 45.1668
11473 1640512 1864 270.516821115 -46.5264065872 52400.251214 22.7611 24.9356
11475 1640513 1864 270.516768785 -46.5264285925 52400.251663 22.7609 24.1905
11529 1640534 1864 270.515656114 -46.5268929581 52400.261185 22.7606 24.5875
11531 1640535 1864 270.515603632 -46.5269146965 52400.261633 22.7608 25.2812
11571 1640550 2205 304.427847741 -52.4603158178 52400.268537 22.8013 17.0001
11652 1640586 2205 304.443435488 -52.4661317055 52400.285105 22.8124 17.5741
11720 1640631 1408 319.917946492 -53.5591238192 52400.305842 23.2072 10.2322
11722 1640632 1408 319.918568702 -53.5582994151 52400.306289 23.2098 10.1396
11791 1640664 1408 319.939005714 -53.531023707 52400.321048 23.235 10.3406
11793 1640665 1408 319.939622892 -53.5301940321 52400.321496 23.2323 10.427
11807 1640673 2205 304.480858372 -52.4800715215 52400.325094 22.8328 18.6627
11812 1640677 1897 325.046599397 -51.0954938469 52400.326954 23.0066 12.7006
11867 1640697 69 292.92969909 -23.1638997018 52400.336603 19.9971 231.976
11874 1640698 69 292.929605419 -23.1636672716 52400.337051 19.9947 228.433
11899 1640707 2205 304.4962883 -52.4857985846 52400.341656 22.8386 19.0546
11919 1640719 1897 325.066977289 -51.0794788617 52400.347335 23.0284 13.2482
11947 1640744 69 292.924891803 -23.1519885639 52400.359542 20.0009 230.599
11955 1640745 69 292.924789737 -23.1517359841 52400.360028 20.0025 233.568
12159 1640831 1897 325.124895051 -51.0322609293 52400.406506 23.0752 14.4304
13058 1641282 1238 261.261399134 -15.4643401591 52401.192075 21.5768 69.6645
